Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazoncart,Edge Chromium 121,,,03-02-2024 12:13:34,03-02-2024 12:14:17,43.302s,PASSED
,,,,,,,
Test Cases/Test3,Edge Chromium 121,,,03-02-2024 12:13:34,03-02-2024 12:14:17,43.035s,PASSED
Start listener action : sampleBeforeTestCase,Edge Chromium 121,,,03-02-2024 12:13:34,03-02-2024 12:13:39,4.790s,PASSED
"click(findTestObject(""Object Repository/Amazoncart/Page_Amazon.com Page Not Found/img""))",Edge Chromium 121,,,03-02-2024 12:13:39,03-02-2024 12:13:43,3.867s,PASSED
"click(findTestObject(""Object Repository/Amazoncart/Page_Amazon.com. Spend less. Smile more/span_Hello, sign in""))",Edge Chromium 121,,,03-02-2024 12:13:43,03-02-2024 12:13:49,6.080s,PASSED
"setText(findTestObject(""Object Repository/Amazoncart/Page_Amazon Sign-In/input_Email or mobile phone number_email""), ""vivek.koppu02@gmail.com"")",Edge Chromium 121,,,03-02-2024 12:13:49,03-02-2024 12:13:51,1.844s,PASSED
"click(findTestObject(""Object Repository/Amazoncart/Page_Amazon Sign-In/input_Enter your email or mobile phone numb_fc7402""))",Edge Chromium 121,,,03-02-2024 12:13:51,03-02-2024 12:13:53,2.186s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Amazoncart/Page_Amazon Sign-In/input_Forgot your password_password""), ""ofo5Cd7yjXKREItGPzFDsw=="")",Edge Chromium 121,,,03-02-2024 12:13:53,03-02-2024 12:13:54,1.011s,PASSED
"click(findTestObject(""Object Repository/Amazoncart/Page_Amazon Sign-In/input_Enter your password_signInSubmit""))",Edge Chromium 121,,,03-02-2024 12:13:54,03-02-2024 12:13:55,0.529s,PASSED
"setText(findTestObject(""Object Repository/Amazoncart/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_field-keywords""), ""thermometer"")",Edge Chromium 121,,,03-02-2024 12:13:55,03-02-2024 12:14:03,8.363s,PASSED
"click(findTestObject(""Object Repository/Amazoncart/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_nav-search-submit-button""))",Edge Chromium 121,,,03-02-2024 12:14:03,03-02-2024 12:14:13,10.075s,PASSED
"click(findTestObject(""Object Repository/Amazoncart/Page_Amazon.com  thermometer/button_Add to cart""))",Edge Chromium 121,,,03-02-2024 12:14:13,03-02-2024 12:14:16,3.034s,PASSED
Start listener action : sampleAfterTestCase,Edge Chromium 121,,,03-02-2024 12:14:16,03-02-2024 12:14:17,1.038s,PASSED
